Mongolia,MNG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.757
Northern Mariana Islands,MNP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Mozambique,MOZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.243
Mauritania,MRT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.674
Mauritius,MUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4
Malawi,MWI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.571
Malaysia,MYS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.037
North America,NAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.77984905512338
Namibia,NAM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.415
New Caledonia,NCL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.08
Niger,NER,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.239
Nigeria,NGA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.526
Nicaragua,NIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.2
Netherlands,NLD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.66
Norway,NOR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.72
Nepal,NPL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.118
Nauru,NRU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
New Zealand,NZL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.87
OECD members,OED,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.72635705067859
Oman,OMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.666
Other small states,OSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.10396195618142
Pakistan,PAK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.481
Panama,PAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.514
Peru,PER,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.4
Philippines,PHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.925
Palau,PLW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Papua New Guinea,PNG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.658
Poland,POL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.32
Pre-demographic dividend,PRE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.17456458183019
Puerto Rico,PRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.3
"Korea, Dem. People’s Rep.",PRK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.91
Portugal,PRT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.31
Paraguay,PRY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.48
West Bank and Gaza,PSE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.008
Pacific island small states,PSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.20771931509663
Post-demographic dividend,PST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.61519437956206
French Polynesia,PYF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.013
Qatar,QAT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.907
Romania,ROU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.58
Russian Federation,RUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.75
Rwanda,RWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.885
South Asia,SAS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.45961420697189
Saudi Arabia,SAU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.532
